Titre,Année,Public,Durée,Genre,Note,Synopsis,Acteurs,Langues,Pays d'origine,Nombre d'épisodes,Nombre de saisons
Black Books,2000–2004,TV-PG,"25,m",Comedy,8.5,"Bernard Black runs a book shop, though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many ...","Dylan Moran,Bill Bailey,Tamsin Greig,Paul Beech,Daisy Campbell,Ben Homewood,Nick Frost,Tony Way,Omid Djalili,Mark Aiken,John Arthur,Tony Bluto,Terry Bird,Jessica Hynes,Rose Keegan,Nina Conti,Mick Walter,Howard Coggins",English,United Kingdom,18,3 seasons
Murder,2014–2020,Tous publics,"43,m","Crime,Drama,Mystery",8.1,A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.,"Viola Davis,Billy Brown,Jack Falahee,Aja Naomi King,Matt McGorry,Charlie Weber,Liza Weil,Conrad Ricamora,Karla Souza,Alfred Enoch,Amirah Vann,Rome Flynn,Tom Verica,Behzad Dabu,Benito Martinez,Jasmyne Jones,Adrianna Jones,Katie Findlay","English,Spanish",United States,90,6 seasons
Mentalist,2008–2015,10,"43,m","Crime,Drama,Mystery",8.1,"A famous ""psychic"" outs himself as a fake, and starts working as a consultant for the California Bureau of Investigation so he can find ""Red John"", the madman who killed his wife and daughte...","Simon Baker,Robin Tunney,Tim Kang,Owain Yeoman,Amanda Righetti,Rockmond Dunbar,Joe Adler,John Troy Donovan,Aunjanue Ellis,Michael Gaston,Gregory Itzin,Emily Swallow,Pruitt Taylor Vince,Josie Loren,Michael Rady,Rebecca Wisocky,David Norona,Eric Winter",English,United States,151,7 seasons
Chuck,2007–2012,Tous publics,"43,m","Action,Comedy,Drama",8.2,"When a twenty-something computer geek inadvertently downloads critical government secrets into his brain, the C.I.A. and the N.S.A. assign two agents to protect him and exploit such knowledg...","Zachary Levi,Yvonne Strahovski,Joshua Gomez,Vik Sahay,Scott Krinsky,Sarah Lancaster,Adam Baldwin,Ryan McPartlin,Mark Christopher Lawrence,Bonita Friedericy,Julia Ling,Jesse Heiman,Mekenna Melvin,Michael Kawczynski,Tony Hale,Brandon Routh,Linda Hamilton,Tony Todd",English,United States,91,5 seasons
Le bateau,1985–1987,TV-MA,"4,h, ,53,m","Drama,Thriller,War",8.8,A World War II German U-Boat crew have a terrifying patrol mission in the early days of the war.,"Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,Hubertus Bengsch,Martin Semmelrogge,Bernd Tauber,Erwin Leder,Martin May,Heinz Hoenig,Uwe Ochsenknecht,Claude-Oliver Rudolph,Jan Fedder,Ralf Richter,Joachim Bernhard,Oliver Stritzel,Konrad Becker,Lutz Schnell,Martin Hemme","German,French,English","West Germany,France,United Kingdom,Italy",3,2 years
Neon Genesis Evangelion,1995–1996,12,"24,m","Animation,Action,Drama",8.5,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,"Megumi Ogata,Megumi Hayashibara,Kotono Mitsuishi,Spike Spencer,Allison Keith,Sue Ulu,Amanda Winn Lee,Tristan MacAvery,Tiffany Grant,Guil Lunde,Matt Greenfield,Kendra Benham,Jason Lee,Casey Mongillo,Carrie Keranen,Erica Lindbeck,Ryan Bartley,Pedro de Aguillón",Japanese,Japan,26,3 years
The Good Place,2016–2020,13,"22,m","Comedy,Drama,Fantasy",8.2,Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.,"Kristen Bell,William Jackson Harper,Jameela Jamil,D'Arcy Carden,Manny Jacinto,Ted Danson,Marc Evan Jackson,Tiya Sircar,Josh Siegal,Maya Rudolph,Kirby Howell-Baptiste,Jason Mantzoukas,Brandon Scott Jones,Bambadjan Bamba,Jama Williamson,Benjamin Koldyke,Maribeth Monroe,Steve Berg",English,United States,50,4 seasons
WandaVision,2021,TV-PG,"5,h, ,50,m","Action,Comedy,Drama",8.0,"Blends the style of classic sitcoms with the MCU, in which Wanda Maximoff and Vision - two super-powered beings living their ideal suburban lives - begin to suspect that everything is not as...","Elizabeth Olsen,Paul Bettany,Kathryn Hahn,Teyonah Parris,Josh Stamberg,David Payton,David Lengel,Amos Glick,Selena Anduze,Randall Park,Kat Dennings,Julian Hilliard,Debra Jo Rupp,Jett Klyne,Asif Ali,Ithamar Enriquez,Victoria Blade,Evan Peters",English,United States,9,1 season
Esprits criminels,2005–2020,12,"42,m","Crime,Drama,Mystery",8.1,"The cases of the F.B.I. Behavioral Analysis Unit (B.A.U.), an elite group of profilers who analyze the nation's most dangerous serial killers and individual heinous crimes in an effort to an...","Matthew Gray Gubler,Kirsten Vangsness,A.J. Cook,Joe Mantegna,Thomas Gibson,Shemar Moore,Paget Brewster,Aisha Tyler,Adam Rodriguez,Daniel Henney,Jeanne Tripplehorn,Mandy Patinkin,Lola Glaudini,Jayne Atkinson,Jennifer Love Hewitt,Nicholas Brendon,Cade Owens,Brian Appel",English,"United States,Canada",323,15 seasons
Buffy contre les vampires,1997–2003,10,"44,m","Action,Drama,Fantasy",8.2,"A young woman, destined to slay vampires, demons and other infernal creatures, deals with her life fighting evil, with the help of her friends.","Sarah Michelle Gellar,Nicholas Brendon,Alyson Hannigan,Anthony Head,James Marsters,Emma Caulfield Ford,Michelle Trachtenberg,Kristine Sutherland,Charisma Carpenter,David Boreanaz,Amber Benson,Seth Green,Marc Blucas,Danny Strong,Tom Lenk,Eliza Dushku,Armin Shimerman,Juliet Landau",,United States,145,7 seasons
Orphan Black,2013–2017,Tous publics,"44,m","Action,Drama,Sci-Fi",8.3,A streetwise hustler is pulled into a compelling conspiracy after witnessing the suicide of a girl who looks just like her.,"Tatiana Maslany,Dylan Bruce,Jordan Gavaris,Kevin Hanchard,Maria Doyle Kennedy,Kristian Bruun,Skyler Wexler,Josh Vokey,Ari Millen,Evelyne Brochu,Cynthia Galant,Zoé De Grand Maison,Millie Davis,Inga Cadranel,Kyra Harper,Calwyn Shurgold,Rosemary Dunsmore,Michael Mando",English,Canada,50,5 seasons
Euphoria,2019– ,16,"55,m",Drama,8.4,"A look at life for a group of high school students as they grapple with issues of drugs, sex, and violence.","Zendaya,Hunter Schafer,Sydney Sweeney,Jacob Elordi,Maude Apatow,Alexa Demie,Barbie Ferreira,Angus Cloud,Eric Dane,Nika King,Storm Reid,Algee Smith,John Ales,Javon 'Wanna' Walton,Alanna Ubach,Austin Abrams,Keean Johnson,Sophia Rose Wilson",English,United States,15,3 years
Billions,2016– ,Tous publics,"1,h",Drama,8.4,"U.S. Attorney Chuck Rhoades goes after hedge fund king Bobby ""Axe"" Axelrod in a battle between two powerful New York figures.","Paul Giamatti,Damian Lewis,Maggie Siff,David Costabile,Condola Rashad,Daniel K. Isaac,Dan Soder,Kelly AuCoin,Jeffrey DeMunn,Toby Leonard Moore,Asia Kate Dillon,Zina Wilde,Malin Akerman,Kira Visser,Glenn Fleshler,Stephen Kunken,Terry Kinney,Keith Eric Chappelle",English,United States,72,6 seasons
Band of Brothers: L'enfer du Pacifique,2010,TV-MA,"8,h, ,50,m","Action,Adventure,Drama",8.3,"The Pacific Theatre of World War II, as seen through the eyes of several young Marines.","James Badge Dale,Joseph Mazzello,Jon Seda,Ashton Holmes,Josh Helman,Rami Malek,Martin McCann,Keith Nobbs,Toby Leonard Moore,Tom Hanks,Jacob Pitts,Nathin Butler,Brendan Fletcher,Tom Budge,Dylan Young,Conor O'Farrell,William Sadler,Joshua Bitton",English,"United States,Australia",10,1 season
Twin Peaks: The Return,2017,12,"1,h","Crime,Drama,Fantasy",8.5,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,"Kyle MacLachlan,Sheryl Lee,Michael Horse,Chrysta Bell,Miguel Ferrer,David Lynch,Robert Forster,Kimmy Robertson,Naomi Watts,Laura Dern,Pierce Gagnon,Harry Goaz,Al Strobel,John Pirruccello,Don Murray,Mädchen Amick,Dana Ashbrook,Brent Briscoe","English,French",United States,18,1 season
